Sheet Name,Total Questions,Easy,Easy %,Medium,Medium %,Hard,Hard %,Avg Question Length (words),Avg Question Length (chars),Avg Answer Length (words),Avg Answer Length (chars)
Tasmia done,201,59,29.4,104,51.7,39,19.4,39.19,223.0,35.43,195.0
Utshab,200,50,25.0,100,50.0,50,25.0,11.62,79.0,14.85,106.0
Sazedur,121,12,9.9,11,9.1,26,21.5,20.2,121.0,103.09,681.0
Nawfal,193,57,29.5,78,40.4,58,30.1,8.65,55.0,6.67,45.0
Full,59,25,42.4,31,52.5,11,18.6,33.15,193.0,7.7,43.0
Nieb,205,60,29.3,91,44.4,53,25.9,101.28,582.0,72.91,432.0
OVERALL,979,263,26.9,415,42.4,237,24.2,37.83,221.0,40.13,248.0
